Linux 5.15.0-73-generic (bianca-MS-7C00) 	08/06/23 	_x86_64_	(8 CPU)

11:00:27        CPU     %user     %nice   %system   %iowait    %steal     %idle
11:00:28        all      1.03      0.00      1.16      0.00      0.00     97.82
11:00:28          0      4.26      0.00      1.06      0.00      0.00     94.68
11:00:28          1      0.00      0.00      0.00      0.00      0.00    100.00
11:00:28          2      0.00      0.00      0.00      0.00      0.00    100.00
11:00:28          3      0.00      0.00      1.01      0.00      0.00     98.99
11:00:28          4      0.00      0.00      0.00      0.00      0.00    100.00
11:00:28          5      1.00      0.00      3.00      0.00      0.00     96.00
11:00:28          6      2.15      0.00      3.23      0.00      0.00     94.62
11:00:28          7      1.04      0.00      1.04      0.00      0.00     97.92

Average:        CPU     %user     %nice   %system   %iowait    %steal     %idle
Average:        all      1.03      0.00      1.16      0.00      0.00     97.82
Average:          0      4.26      0.00      1.06      0.00      0.00     94.68
Average:          1      0.00      0.00      0.00      0.00      0.00    100.00
Average:          2      0.00      0.00      0.00      0.00      0.00    100.00
Average:          3      0.00      0.00      1.01      0.00      0.00     98.99
Average:          4      0.00      0.00      0.00      0.00      0.00    100.00
Average:          5      1.00      0.00      3.00      0.00      0.00     96.00
Average:          6      2.15      0.00      3.23      0.00      0.00     94.62
Average:          7      1.04      0.00      1.04      0.00      0.00     97.92
Linux 5.15.0-73-generic (bianca-MS-7C00) 	08/06/23 	_x86_64_	(8 CPU)

11:00:29        CPU     %user     %nice   %system   %iowait    %steal     %idle
11:00:30        all      0.75      0.00      0.25      0.12      0.00     98.88
11:00:30          0      0.99      0.00      0.99      0.00      0.00     98.02
11:00:30          1      0.99      0.00      0.00      0.00      0.00     99.01
11:00:30          2      0.00      0.00      0.00      0.00      0.00    100.00
11:00:30          3      1.98      0.00      0.00      0.00      0.00     98.02
11:00:30          4      0.99      0.00      0.00      0.00      0.00     99.01
11:00:30          5      0.00      0.00      0.00      0.00      0.00    100.00
11:00:30          6      0.99      0.00      0.99      0.99      0.00     97.03
11:00:30          7      0.00      0.00      0.00      0.00      0.00    100.00

Average:        CPU     %user     %nice   %system   %iowait    %steal     %idle
Average:        all      0.75      0.00      0.25      0.12      0.00     98.88
Average:          0      0.99      0.00      0.99      0.00      0.00     98.02
Average:          1      0.99      0.00      0.00      0.00      0.00     99.01
Average:          2      0.00      0.00      0.00      0.00      0.00    100.00
Average:          3      1.98      0.00      0.00      0.00      0.00     98.02
Average:          4      0.99      0.00      0.00      0.00      0.00     99.01
Average:          5      0.00      0.00      0.00      0.00      0.00    100.00
Average:          6      0.99      0.00      0.99      0.99      0.00     97.03
Average:          7      0.00      0.00      0.00      0.00      0.00    100.00
Linux 5.15.0-73-generic (bianca-MS-7C00) 	08/06/23 	_x86_64_	(8 CPU)

11:00:31        CPU     %user     %nice   %system   %iowait    %steal     %idle
11:00:32        all      0.50      0.00      0.62      0.25      0.00     98.62
11:00:32          0      1.01      0.00      0.00      0.00      0.00     98.99
11:00:32          1      1.00      0.00      1.00      2.00      0.00     96.00
11:00:32          2      0.00      0.00      0.00      0.00      0.00    100.00
11:00:32          3      1.98      0.00      0.99      0.00      0.00     97.03
11:00:32          4      0.00      0.00      0.00      0.00      0.00    100.00
11:00:32          5      0.00      0.00      0.00      0.00      0.00    100.00
11:00:32          6      0.00      0.00      1.00      0.00      0.00     99.00
11:00:32          7      0.00      0.00      2.00      0.00      0.00     98.00

Average:        CPU     %user     %nice   %system   %iowait    %steal     %idle
Average:        all      0.50      0.00      0.62      0.25      0.00     98.62
Average:          0      1.01      0.00      0.00      0.00      0.00     98.99
Average:          1      1.00      0.00      1.00      2.00      0.00     96.00
Average:          2      0.00      0.00      0.00      0.00      0.00    100.00
Average:          3      1.98      0.00      0.99      0.00      0.00     97.03
Average:          4      0.00      0.00      0.00      0.00      0.00    100.00
Average:          5      0.00      0.00      0.00      0.00      0.00    100.00
Average:          6      0.00      0.00      1.00      0.00      0.00     99.00
Average:          7      0.00      0.00      2.00      0.00      0.00     98.00
Linux 5.15.0-73-generic (bianca-MS-7C00) 	08/06/23 	_x86_64_	(8 CPU)

11:00:33        CPU     %user     %nice   %system   %iowait    %steal     %idle
11:00:34        all      0.25      0.00      0.38      0.00      0.00     99.37
11:00:34          0      0.00      0.00      0.00      0.00      0.00    100.00
11:00:34          1      0.99      0.00      0.99      0.00      0.00     98.02
11:00:34          2      0.00      0.00      0.00      0.00      0.00    100.00
11:00:34          3      1.00      0.00      1.00      0.00      0.00     98.00
11:00:34          4      0.00      0.00      0.00      0.00      0.00    100.00
11:00:34          5      0.00      0.00      1.00      0.00      0.00     99.00
11:00:34          6      0.00      0.00      0.00      0.00      0.00    100.00
11:00:34          7      0.00      0.00      0.00      0.00      0.00    100.00

Average:        CPU     %user     %nice   %system   %iowait    %steal     %idle
Average:        all      0.25      0.00      0.38      0.00      0.00     99.37
Average:          0      0.00      0.00      0.00      0.00      0.00    100.00
Average:          1      0.99      0.00      0.99      0.00      0.00     98.02
Average:          2      0.00      0.00      0.00      0.00      0.00    100.00
Average:          3      1.00      0.00      1.00      0.00      0.00     98.00
Average:          4      0.00      0.00      0.00      0.00      0.00    100.00
Average:          5      0.00      0.00      1.00      0.00      0.00     99.00
Average:          6      0.00      0.00      0.00      0.00      0.00    100.00
Average:          7      0.00      0.00      0.00      0.00      0.00    100.00
Linux 5.15.0-73-generic (bianca-MS-7C00) 	08/06/23 	_x86_64_	(8 CPU)

11:00:35        CPU     %user     %nice   %system   %iowait    %steal     %idle
11:00:36        all      0.38      0.00      0.38      0.25      0.00     99.00
11:00:36          0      0.00      0.00      1.01      0.00      0.00     98.99
11:00:36          1      0.00      0.00      1.00      1.00      0.00     98.00
11:00:36          2      0.00      0.00      0.00      0.00      0.00    100.00
11:00:36          3      0.00      0.00      0.00      0.00      0.00    100.00
11:00:36          4      0.00      0.00      0.00      0.00      0.00    100.00
11:00:36          5      0.99      0.00      0.99      0.00      0.00     98.02
11:00:36          6      1.00      0.00      0.00      1.00      0.00     98.00
11:00:36          7      0.99      0.00      0.00      0.00      0.00     99.01

Average:        CPU     %user     %nice   %system   %iowait    %steal     %idle
Average:        all      0.38      0.00      0.38      0.25      0.00     99.00
Average:          0      0.00      0.00      1.01      0.00      0.00     98.99
Average:          1      0.00      0.00      1.00      1.00      0.00     98.00
Average:          2      0.00      0.00      0.00      0.00      0.00    100.00
Average:          3      0.00      0.00      0.00      0.00      0.00    100.00
Average:          4      0.00      0.00      0.00      0.00      0.00    100.00
Average:          5      0.99      0.00      0.99      0.00      0.00     98.02
Average:          6      1.00      0.00      0.00      1.00      0.00     98.00
Average:          7      0.99      0.00      0.00      0.00      0.00     99.01
Linux 5.15.0-73-generic (bianca-MS-7C00) 	08/06/23 	_x86_64_	(8 CPU)

11:00:37        CPU     %user     %nice   %system   %iowait    %steal     %idle
11:00:38        all      0.00      0.00      0.13      0.00      0.00     99.87
11:00:38          0      0.00      0.00      1.00      0.00      0.00     99.00
11:00:38          1      0.00      0.00      0.00      0.00      0.00    100.00
11:00:38          2      0.00      0.00      0.00      0.00      0.00    100.00
11:00:38          3      0.00      0.00      0.00      0.00      0.00    100.00
11:00:38          4      0.00      0.00      0.00      0.00      0.00    100.00
11:00:38          5      0.00      0.00      0.00      0.00      0.00    100.00
11:00:38          6      0.00      0.00      0.00      0.00      0.00    100.00
11:00:38          7      0.00      0.00      0.00      0.00      0.00    100.00

Average:        CPU     %user     %nice   %system   %iowait    %steal     %idle
Average:        all      0.00      0.00      0.13      0.00      0.00     99.87
Average:          0      0.00      0.00      1.00      0.00      0.00     99.00
Average:          1      0.00      0.00      0.00      0.00      0.00    100.00
Average:          2      0.00      0.00      0.00      0.00      0.00    100.00
Average:          3      0.00      0.00      0.00      0.00      0.00    100.00
Average:          4      0.00      0.00      0.00      0.00      0.00    100.00
