Linux 5.15.0-73-generic (bianca-MS-7C00) 	09/06/23 	_x86_64_	(8 CPU)

19:49:20        CPU     %user     %nice   %system   %iowait    %steal     %idle
19:49:21        all      1.38      0.00      1.00      0.00      0.00     97.62
19:49:21          0      0.00      0.00      2.00      0.00      0.00     98.00
19:49:21          1      0.99      0.00      0.00      0.00      0.00     99.01
19:49:21          2      0.00      0.00      0.00      0.00      0.00    100.00
19:49:21          3      1.02      0.00      0.00      0.00      0.00     98.98
19:49:21          4      7.48      0.00      4.67      0.00      0.00     87.85
19:49:21          5      0.00      0.00      0.00      0.00      0.00    100.00
19:49:21          6      0.00      0.00      0.00      0.00      0.00    100.00
19:49:21          7      1.03      0.00      1.03      0.00      0.00     97.94

Average:        CPU     %user     %nice   %system   %iowait    %steal     %idle
Average:        all      1.38      0.00      1.00      0.00      0.00     97.62
Average:          0      0.00      0.00      2.00      0.00      0.00     98.00
Average:          1      0.99      0.00      0.00      0.00      0.00     99.01
Average:          2      0.00      0.00      0.00      0.00      0.00    100.00
Average:          3      1.02      0.00      0.00      0.00      0.00     98.98
Average:          4      7.48      0.00      4.67      0.00      0.00     87.85
Average:          5      0.00      0.00      0.00      0.00      0.00    100.00
Average:          6      0.00      0.00      0.00      0.00      0.00    100.00
Average:          7      1.03      0.00      1.03      0.00      0.00     97.94
Linux 5.15.0-73-generic (bianca-MS-7C00) 	09/06/23 	_x86_64_	(8 CPU)

19:49:22        CPU     %user     %nice   %system   %iowait    %steal     %idle
19:49:23        all      0.63      0.00      0.50      0.00      0.00     98.87
19:49:23          0      1.00      0.00      0.00      0.00      0.00     99.00
19:49:23          1      0.00      0.00      1.00      0.00      0.00     99.00
19:49:23          2      0.00      0.00      0.00      0.00      0.00    100.00
19:49:23          3      0.00      0.00      1.00      0.00      0.00     99.00
19:49:23          4      0.00      0.00      0.00      0.00      0.00    100.00
19:49:23          5      1.02      0.00      1.02      0.00      0.00     97.96
19:49:23          6      0.00      0.00      0.00      0.00      0.00    100.00
19:49:23          7      3.00      0.00      1.00      0.00      0.00     96.00

Average:        CPU     %user     %nice   %system   %iowait    %steal     %idle
Average:        all      0.63      0.00      0.50      0.00      0.00     98.87
Average:          0      1.00      0.00      0.00      0.00      0.00     99.00
Average:          1      0.00      0.00      1.00      0.00      0.00     99.00
Average:          2      0.00      0.00      0.00      0.00      0.00    100.00
Average:          3      0.00      0.00      1.00      0.00      0.00     99.00
Average:          4      0.00      0.00      0.00      0.00      0.00    100.00
Average:          5      1.02      0.00      1.02      0.00      0.00     97.96
Average:          6      0.00      0.00      0.00      0.00      0.00    100.00
Average:          7      3.00      0.00      1.00      0.00      0.00     96.00
Linux 5.15.0-73-generic (bianca-MS-7C00) 	09/06/23 	_x86_64_	(8 CPU)

19:49:24        CPU     %user     %nice   %system   %iowait    %steal     %idle
19:49:25        all      0.13      0.00      0.38      0.13      0.00     99.37
19:49:25          0      0.00      0.00      0.00      0.00      0.00    100.00
19:49:25          1      0.00      0.00      0.00      0.00      0.00    100.00
